longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,,median_house_value
-118.37,33.87,18,2516,485,1128,433,5.0114,<1H OCEAN,333668.02,,338600
-118.01,33.85,29,3061,612,2396,640,4.6326,<1H OCEAN,203626,,195200
-122.32,37.94,47,1911,283,697,275,6.2712,NEAR BAY,314963.04,,267700
-117.96,33.94,34,2228,399,1159,378,4.8906,<1H OCEAN,224359,,228900
-117.96,34.14,33,1994,405,993,403,3.766,INLAND,167946,,163900
-117.55,34,17,3583,700,1587,719,2.6979,INLAND,90152,,75000
-122.28,37.86,41,2214,550,1213,568,2.2845,NEAR BAY,148928,,153100
-117.43,34.07,18,2453,537,1503,500,2.3768,INLAND,98699,,95300
-117.21,33.34,10,5294,817,2312,810,5.4563,<1H OCEAN,295781,,325700
-120.68,37.47,33,1028,226,658,197,2.3043,INLAND,72895,,66300
-122.83,38.96,15,1318,296,567,276,1.8692,INLAND,95841,,93800
-122.22,37.37,26,440,202,322,218,5.1831,NEAR OCEAN,343801.05,,350000
-116.87,32.75,15,2053,321,993,309,5.5164,<1H OCEAN,246180.01,,248900
-118.39,33.79,30,4402,563,1582,551,10.898,NEAR OCEAN,498336.94,,500001
-117.13,32.74,46,3355,768,1457,708,2.6604,NEAR OCEAN,164984,,170100
-122.45,37.74,38,5688,930,2263,908,6.203,NEAR BAY,359249.03,,346800
-122.47,38.29,14,3732,846,1277,775,2.5658,NEAR BAY,198964.02,,208000
-122.54,37.95,38,2310,400,971,386,5.697,NEAR BAY,408698.03,,435700
-123.1,38.79,20,3109,712,1643,638,2.8344,<1H OCEAN,162134,,164400
-117.07,32.56,9,3648,895,3293,840,3.0992,NEAR OCEAN,147339,,142600
-118.43,34.08,46,778,90,238,93,15.0001,<1H OCEAN,500001,,500001
-122.05,36.97,16,3363,611,1603,556,4.2542,NEAR OCEAN,277866,,294100
-122.25,37.49,43,2607,477,1225,461,4.224,NEAR OCEAN,350158.01,,349600
-117.87,34.14,30,2495,586,1139,559,2.9375,INLAND,183475,,209200
-118.2,34.05,42,1703,586,2490,581,2.02,<1H OCEAN,146405,,147200
-121.32,37.94,36,40,10,64,14,2.625,INLAND,83140,,55000
-120.96,38.66,11,2339,436,1062,380,3.9036,INLAND,173505,,180800
-120.43,34.96,24,2739,414,1171,413,4.8155,<1H OCEAN,180559,,162900
-122.28,37.9,52,2003,250,658,244,10.0825,NEAR BAY,436140.38,,397000
-122,37.08,17,4154,739,2149,693,5.5919,NEAR OCEAN,349535.01,,373400
-118.34,33.87,34,1069,217,601,212,4.6406,<1H OCEAN,262258,,255900
-118.52,34.21,36,1328,287,823,273,4.5648,<1H OCEAN,206418.01,,193700
-118.22,34.09,42,1706,488,1941,447,2.5213,<1H OCEAN,153197,,149700
-118.27,34.1,51,3149,519,1082,510,6.4459,<1H OCEAN,420481.11,,421600
-117.58,34.02,4,5998,1092,3182,1042,5.2692,INLAND,173532,,174800
-118.22,34.08,31,394,117,573,131,1.8173,<1H OCEAN,160234,,154200
-121.78,36.93,21,2794,662,2236,565,2.4053,<1H OCEAN,167559,,178400
-117.36,33.18,39,1546,291,833,308,2.8893,NEAR OCEAN,209208.06,,185400
-119.01,35.36,24,1941,484,1277,435,1.056,INLAND,51944,,51600
-117.81,34.11,21,3481,808,1866,746,3.6201,INLAND,153846,,150400
-118.1,34.02,33,1143,172,508,174,4.9107,<1H OCEAN,233025,,279900
-117.03,32.96,16,3424,698,1940,645,4.121,<1H OCEAN,185062,,182100
-122.23,39.75,16,2026,396,1031,382,1.9375,INLAND,76353,,73100
-121.96,37.1,20,922,155,361,135,6.3617,<1H OCEAN,325093,,331500
-121.06,39.04,15,1999,287,585,246,5.5161,INLAND,286051,,361900
-118.1,34.09,46,2822,525,1434,520,3.8906,<1H OCEAN,234220,,238300
-118.32,33.95,44,2131,360,1040,330,5.0912,<1H OCEAN,208183,,169800
-122.21,37.44,35,1140,193,486,199,4.6908,NEAR OCEAN,415357.53,,500001
-118.19,34.1,39,2054,423,1205,403,4.239,<1H OCEAN,227505.01,,213000
-122.38,40.09,16,2077,388,1155,389,3.1361,INLAND,91850,,84800
-117.3,33.06,31,2128,520,1049,485,4.027,NEAR OCEAN,314074.13,,290000
-122.13,37.71,44,1421,298,609,270,3.5781,NEAR BAY,179619,,180000
-118.29,33.98,44,2261,555,1348,455,1.9125,<1H OCEAN,103624,,97200
-121.53,39.52,30,1030,161,448,159,2.4821,INLAND,79116,,73800
-120.47,34.65,16,2549,428,1486,432,4.2875,NEAR OCEAN,172475,,150700
-118.3,34,52,1718,354,1026,312,2,<1H OCEAN,121695,,128000
-118.22,33.8,33,1984,477,1764,440,3.875,NEAR OCEAN,192657.02,,165100
-118.27,33.97,39,2569,688,2601,630,2.0754,<1H OCEAN,110127,,101400
-118.34,34.06,52,1311,310,707,290,3.4812,<1H OCEAN,401239,,432800
-119.21,34.18,13,6103,1319,2986,1212,3.9718,NEAR OCEAN,228172,,215200
-117.83,33.81,24,3550,895,2828,834,2.8403,<1H OCEAN,191820,,225600
-118.85,34.18,11,5873,1455,3089,1365,3.5504,<1H OCEAN,190690,,173800
-118.37,36.19,10,443,111,48,21,3.125,INLAND,84415,,71300
-121.85,37.39,15,8748,1547,4784,1524,5.8322,<1H OCEAN,289100,,276600
-118.37,33.85,25,5622,998,2537,1009,5.785,<1H OCEAN,395461.08,,395300
-118.96,35.37,32,1025,259,874,236,1.9612,INLAND,57482,,53400
-120.64,35.65,9,3466,673,2356,619,2.9926,<1H OCEAN,169787,,158200
-118.41,34.19,42,779,145,450,148,3.9792,<1H OCEAN,202653,,193800
-122.53,37.95,22,7446,1979,2980,1888,3.5838,NEAR BAY,271217.02,,271300
-117.33,34.15,28,1473,333,1196,312,1.6993,INLAND,70124,,67800
-117.23,33.57,6,13724,2269,5860,1986,3.9617,<1H OCEAN,194853.02,,183000
-120.44,37.28,12,2855,598,1658,586,2.3929,INLAND,86981,,81100
-117.2,33.7,23,6323,1196,1984,1124,2.3276,<1H OCEAN,115489,,92400
-121.34,38.64,12,2772,578,1335,565,3.8068,INLAND,151485,,161000
-117.28,34.12,36,2991,822,2378,751,1.3571,INLAND,73517,,70600
-119.48,36.5,32,3451,625,1968,574,2.9554,INLAND,97363,,110300
-122.04,37.04,17,4977,994,1987,947,3.8854,NEAR OCEAN,291226,,312300
-118.45,34.03,39,1657,402,931,363,3.7813,<1H OCEAN,323093,,336300
-117.47,33.92,18,3869,773,2500,726,3.6583,INLAND,124727,,126100
-121.94,37.75,16,5121,735,2464,761,6.6204,<1H OCEAN,301256,,296100
-117.28,34.51,10,4676,884,2845,812,3.0181,INLAND,103716,,100400
-120.95,35.44,30,6346,1410,1769,887,2.6864,NEAR OCEAN,258806,,283600
-117.9,33.97,23,7353,1255,4014,1124,5.4155,<1H OCEAN,219602,,213200
-120.77,38.38,15,4221,816,1737,743,2.3125,INLAND,127494,,128600
-116.93,32.8,19,1867,538,1219,468,2.0685,<1H OCEAN,126415,,130000
-118.13,33.81,34,1903,343,928,349,5.395,<1H OCEAN,241696,,241900
-117.4,33.95,46,2189,423,866,389,3.1384,INLAND,118937,,111500
-122.07,37.96,34,1692,290,836,289,5.0172,NEAR BAY,207178,,197100
-123.71,39.88,42,1518,383,656,303,1.4952,NEAR OCEAN,79707,,69800
-122.72,38.58,4,7042,1100,2936,1043,5.0555,<1H OCEAN,231338,,240800
-117.77,33.72,9,2153,316,954,324,7.8139,<1H OCEAN,315984.01,,304700
-117.93,34.07,34,1409,305,819,273,3.3977,<1H OCEAN,190071,,188800
-118.41,34.07,52,1202,142,408,138,15.0001,<1H OCEAN,500001,,500001
-120.07,36.97,28,1563,403,1564,408,1.5662,INLAND,51930,,48000
-119.27,36.05,29,1016,174,481,140,2.2917,INLAND,99780,,112500
-120.82,37.05,15,1385,288,775,255,1.933,INLAND,118593,,140600
-121.43,38.54,42,3321,688,1346,658,2.4618,INLAND,99051,,101300
-120.44,34.96,30,1685,315,1290,368,3.4722,<1H OCEAN,137333,,112500
-120.35,37.95,13,2104,407,960,401,2.4,INLAND,152506,,177000
-118.17,33.95,23,1991,584,1380,535,1.9107,<1H OCEAN,165269,,181900
-121.57,39.5,31,2023,469,1073,436,1.5714,INLAND,57794,,56100
-117.82,33.88,18,1982,300,1027,324,7.0526,<1H OCEAN,320199.01,,327500
-121.9,37.44,4,1646,408,853,410,5.0821,<1H OCEAN,259051,,265500
-121.45,38.54,38,1865,384,1052,354,1.7891,INLAND,63853,,60500
-119.81,36.83,19,6789,1200,2325,1109,4.049,INLAND,126250,,126000
-118.36,33.8,34,2629,369,966,375,10.1241,NEAR OCEAN,499000.99,,500001
-117.68,33.59,8,2327,263,899,236,14.9009,<1H OCEAN,498831.98,,500001
-118.04,33.88,17,4807,838,3059,853,5.7619,<1H OCEAN,295634,,297300
-118.43,34.01,41,1527,279,746,285,6.4232,<1H OCEAN,428291.11,,446600
-122.71,38.5,15,5645,830,2324,769,6.6104,<1H OCEAN,318272.01,,330900
-121.83,36.6,30,2748,502,1491,535,4.3472,<1H OCEAN,203174,,185000
-120.82,35.31,16,3924,699,1325,638,2.5172,NEAR OCEAN,267873,,293900
-120.06,36.95,24,646,134,454,149,2.125,INLAND,72626,,61900
-122.14,37.68,31,3184,716,1561,628,2.7955,NEAR BAY,194734.01,,183100
-116.46,33.78,25,1137,414,604,240,1.3801,INLAND,60125,,55000
-121.09,38.19,23,762,140,358,141,2.4545,INLAND,113605,,105000
-121.32,38.57,15,3369,499,1733,470,5.31,INLAND,162348,,127500
-120.99,37.66,30,1718,395,914,400,1.933,INLAND,98176,,107000
-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY,129456,,132500
-122.47,37.78,52,2169,522,1220,505,3.1989,NEAR BAY,428243.01,,446900
-117.91,33.61,40,2790,531,952,424,4.8,<1H OCEAN,457027.77,,500001
-121.53,39.06,20,561,109,308,114,3.3021,INLAND,90957,,70800
-117.04,32.83,8,2205,348,777,341,6.0266,<1H OCEAN,209275.01,,177400
-118.13,34.11,52,2568,345,1102,345,9.1373,<1H OCEAN,499586.98,,500001
-122.32,38.06,4,7999,1611,3596,1396,5.0969,NEAR BAY,202550,,174200
-121.73,37.68,17,20354,3493,8768,3293,5.4496,INLAND,238139,,238900
-118.98,35.4,36,1864,331,1052,325,3.4205,INLAND,80318,,76600
-121.9,37.25,28,2714,502,1389,490,5.7385,<1H OCEAN,261656,,240400
-121.3,38.69,13,2135,429,779,432,3.6995,INLAND,137039,,134900
-115.64,32.75,19,377,69,198,55,1.625,INLAND,99296,,112500
-117.89,33.76,34,1050,210,723,201,4.8,<1H OCEAN,191599,,192700
-118.36,33.92,46,1231,231,793,256,4.1023,<1H OCEAN,224869,,226800
-117.06,32.58,11,2879,679,2098,673,3.5125,NEAR OCEAN,142319,,142400
-115.49,32.67,25,2322,573,2185,602,1.375,INLAND,70585,,70100
-117.31,34.09,34,1336,345,1009,311,1.608,INLAND,72601,,73700
-121.03,39.21,28,2843,535,1310,525,3.2337,INLAND,124098,,123100
-117.05,32.72,35,1777,369,1158,353,3.4107,NEAR OCEAN,123023,,117000
-117.95,33.92,18,2825,660,1590,643,3.6106,<1H OCEAN,167759,,153600
-119.01,35.31,19,7092,1517,4101,1436,2.1006,INLAND,79615,,74800
-119.17,34.27,18,8010,1539,3982,1483,4.0905,NEAR OCEAN,237780,,236500
-118.07,34.14,42,3200,685,1668,628,3.375,INLAND,248564,,260400
-122.23,38.1,46,4143,895,2240,847,2.4201,NEAR BAY,129022,,92800
-117.75,34.06,52,62,9,44,16,0.4999,INLAND,106382,,112500
-118.27,33.81,42,865,208,811,218,3.8621,<1H OCEAN,170541,,165300
-121.32,38,21,1795,482,1114,472,2.0091,INLAND,98978,,101500
-118.99,36.06,19,2153,458,1317,386,1.7564,INLAND,48447,,42600
-122.37,40.54,28,2213,390,1096,378,3.6923,INLAND,94666,,86900
-120.39,37.98,52,1056,274,584,255,2.1513,INLAND,87975,,86700
-118.33,34.11,48,1601,464,784,461,3.0642,<1H OCEAN,336020.05,,342900
-118.08,33.89,37,1152,259,981,225,3.2857,<1H OCEAN,168161,,153600
-117.25,33.36,6,3725,960,2833,915,2.3214,<1H OCEAN,208070,,247000
-119.15,36.29,18,1435,,657,254,2.4281,INLAND,78344,,72500
-117.63,33.94,36,447,95,2886,85,4.2578,INLAND,162650.98,,183300
-118.55,34.19,18,5862,,3161,1280,3.1106,<1H OCEAN,184307,,170600
-117.89,33.71,16,1591,225,926,239,6.2452,<1H OCEAN,269492.01,,266300
-117.69,33.66,5,4246,689,1933,722,6.9501,<1H OCEAN,272878.02,,225700
-118.35,33.88,25,1459,362,1150,354,3.35,<1H OCEAN,235835,,237500
-118.09,34.16,45,2199,358,942,353,5.0393,INLAND,294861.99,,321100
-121.05,39.11,7,2767,423,1143,382,3.6333,INLAND,163408,,170200
-118.21,34.1,40,1684,316,795,330,5.2723,<1H OCEAN,239784.01,,218300
-119.04,36.07,17,2623,659,1912,618,1.5893,INLAND,56813,,52000
-117.3,34.15,33,1607,282,608,260,4.3438,INLAND,129667.99,,115000
-117.75,34.06,44,477,135,502,117,2.0156,INLAND,104412,,112500
-114.61,33.62,16,1187,261,1115,242,2.1759,INLAND,61505,,61500
-117.61,34.13,21,8416,1386,4308,1341,4.4611,INLAND,162299,,164600
-118.11,34.05,23,3436,565,1729,529,5.9941,<1H OCEAN,281950,,266700
-118.95,35.26,24,1341,214,667,184,4,INLAND,99771,,94500
-118.35,33.9,25,3309,902,2299,837,3.0417,<1H OCEAN,233065,,237000
-122.89,38.93,20,1214,247,504,223,2.7188,<1H OCEAN,122289,,105700
-121.89,36.6,40,626,164,337,150,2.7917,<1H OCEAN,211919.01,,225000
-118.31,34.26,34,1797,363,948,363,4.1339,<1H OCEAN,204404,,187300
-122.01,37.25,31,1574,193,551,191,10.2311,<1H OCEAN,499000.99,,500001
-118.37,34.04,43,888,170,514,161,3.1827,<1H OCEAN,231105.01,,202800
-117.19,32.76,52,1294,175,434,180,5.7914,NEAR OCEAN,441459.64,,500001
-119.71,36.8,17,2056,366,1259,367,3.9338,INLAND,90779,,84700
-117.28,34.68,28,1932,421,1156,404,1.8958,INLAND,59801,,55600
-120.84,35.32,15,2419,538,1279,522,3.4762,NEAR OCEAN,206341,,189600
-118.13,34.02,43,396,91,261,73,2.9044,<1H OCEAN,169823,,172900
-117.02,33.6,7,1972,352,964,317,3.244,INLAND,271799,,337200
-116.97,32.76,33,3071,466,1348,513,6.1768,<1H OCEAN,246926,,228900
-117.71,33.61,26,3046,726,888,663,2.6848,<1H OCEAN,115819.01,,74100
-121.58,39.79,19,2636,523,1184,465,2.7863,INLAND,102400,,108600
-118.24,34.15,19,4852,1465,3171,1332,2.5924,<1H OCEAN,205511,,192900
-122.68,38.44,29,2796,588,1346,562,2.9107,<1H OCEAN,166118,,169700
-118.14,33.84,43,2107,439,876,429,3.2024,<1H OCEAN,297099.01,,339400
-117.88,34.1,32,3357,621,1696,604,4.2685,<1H OCEAN,213284.01,,216600
-117.67,33.44,25,2994,519,903,410,6.6852,<1H OCEAN,445281.69,,500001
-120.47,34.64,16,1912,406,1009,417,3.4063,NEAR OCEAN,164539,,138000
-122.22,37.47,23,7740,1943,4124,1743,3.3268,NEAR OCEAN,301844,,322800
-122.25,37.86,52,1709,318,719,295,5.0463,NEAR BAY,369145,,456300
-118.11,34.06,30,1547,436,1700,410,2.5488,<1H OCEAN,184726,,187500
-122.2,39.52,39,2551,482,1181,437,2.0625,INLAND,63599,,63400
-119.9,36.58,20,1935,363,1319,359,2.4814,INLAND,78477,,74600
-118.26,33.79,42,1162,264,1044,241,3.5488,<1H OCEAN,194883,,205600
-122.51,37.53,17,1574,262,672,241,7.2929,NEAR OCEAN,374266.14,,355800
-118.37,33.93,46,442,88,255,94,4.4474,<1H OCEAN,265149,,246900
-118.31,33.99,48,2235,433,1363,433,1.6559,<1H OCEAN,105972,,101400
-117.94,33.65,15,2016,443,1015,419,5.2732,<1H OCEAN,225480,,209700
-118.46,34,44,941,230,493,206,3.6458,<1H OCEAN,322984.01,,325800
-122.33,37.95,46,1543,339,777,322,4.0927,NEAR BAY,157472,,142600
-117.67,34.05,6,2833,628,1717,589,3.2062,INLAND,159097,,167500
-118.05,33.94,34,495,120,527,130,1.9453,<1H OCEAN,143798,,149000
-118.27,33.89,32,1969,397,1349,370,4.4659,<1H OCEAN,163516,,138100
-117.16,33.57,2,20391,3245,7132,2716,3.9443,<1H OCEAN,195295,,187300
-118.46,34.03,27,1965,631,1042,596,2.75,<1H OCEAN,308727.01,,327300
-122.44,37.77,52,5604,1268,2023,1196,4.4085,NEAR BAY,411213.14,,400000
-122.03,37.6,24,2077,383,1488,389,4.5721,NEAR BAY,214859,,214700
-117.96,34.71,32,3511,646,1733,510,3.46,INLAND,123109.98,,123900
-117.83,34.01,16,9446,1650,4911,1534,5.0111,<1H OCEAN,231309,,212900
-118.62,34.2,29,2421,402,1120,388,5.0309,<1H OCEAN,240005,,244800
-121.45,38.62,37,1534,315,1147,322,2.5643,INLAND,69651,,59800
-122.48,37.71,39,3615,632,1571,615,5.1149,NEAR OCEAN,315209,,314200
-123.22,39.15,45,1348,265,639,270,3.3667,<1H OCEAN,132073,,115200
-122.11,37.39,36,1660,261,655,249,6.3967,NEAR BAY,446778.62,,500001
-117.71,33.47,17,2681,454,830,410,5.5507,<1H OCEAN,323653.02,,345700
-118.07,33.87,18,3405,556,1945,509,5.7652,<1H OCEAN,295197,,299100
-122.11,37.66,29,2544,643,2332,603,3.2091,NEAR BAY,167428,,150000
-117.93,34.04,30,1336,239,905,253,4.8854,<1H OCEAN,185741,,178100
-122.03,37.39,34,2600,650,1994,650,4.0223,<1H OCEAN,243353,,250200
-118.35,33.9,31,1547,,956,287,3.4698,<1H OCEAN,216608,,225000
-117.13,32.72,9,2436,720,1780,653,1.8299,NEAR OCEAN,131487,,137500
-121.66,36.82,17,3921,654,1895,641,5.0092,<1H OCEAN,236087,,238700
-118.13,34.05,35,3229,616,1879,595,3.9531,<1H OCEAN,243614,,268400
-118.28,34.05,41,1788,774,2931,702,1.4413,<1H OCEAN,166349,,158900
-118.17,34.1,25,4444,647,1922,652,8.058,<1H OCEAN,467974.18,,477300
-121.33,37.97,36,1953,492,999,371,2.0043,INLAND,86603,,90800
-117.23,32.74,16,1953,404,798,385,4.8167,NEAR OCEAN,191984.01,,169800
-121.29,38.6,29,1276,225,600,223,4.0938,INLAND,118340,,109100
-117.95,34.04,36,1044,200,982,205,4.7679,<1H OCEAN,164798,,153900
-121.83,36.61,26,3723,789,2563,747,3.4531,<1H OCEAN,160150,,133100
-119.21,34.26,26,2406,411,1313,391,4.9079,NEAR OCEAN,245644,,234100
-118.29,33.91,28,1501,446,1028,418,2.3043,<1H OCEAN,159583,,177500
-118.74,34.26,27,3467,545,1798,493,4.8717,<1H OCEAN,214955,,204100
-118.2,33.96,44,2144,477,1760,452,2.3221,<1H OCEAN,163008.01,,161600
-117.93,33.65,29,1253,375,1198,362,3.5179,<1H OCEAN,224707.01,,225000
-124.09,40.88,31,1982,495,1052,467,1.5326,NEAR OCEAN,79747,,74100
-121.39,38.56,19,8507,1470,3517,1453,4.3644,INLAND,141125,,137400
-117.33,34.13,30,2335,363,1214,311,2.2449,INLAND,87068,,93200
-118.75,34.33,27,534,85,243,77,8.2787,<1H OCEAN,361822.2,,330000
-118.1,33.93,36,1124,217,707,234,4.375,<1H OCEAN,179560,,174500
-118.49,34.25,33,2088,383,960,362,4.3333,<1H OCEAN,235050,,232900
-117.69,34.06,29,873,226,649,198,2.7986,INLAND,123138,,114400
-117.06,32.57,18,1384,311,1429,287,1.3362,NEAR OCEAN,97668,,95000
-118.46,34.29,24,3668,890,3151,810,3.0526,<1H OCEAN,185336,,183300
-121.74,38.55,33,6861,1820,3717,1767,1.7311,INLAND,156169,,182600
-116.89,33.73,15,2094,316,937,277,5.3623,INLAND,192791,,201300
-121.89,37.25,26,1741,323,1007,339,4.7069,<1H OCEAN,253823,,234800
-122.15,37.72,31,1616,372,739,379,2.9097,NEAR BAY,203878,,210900
-119.29,34.26,32,3295,764,1344,600,3.6007,NEAR OCEAN,358309,,395500
-118.19,33.89,38,4018,986,3702,927,2.9293,<1H OCEAN,129052,,113600
-117.66,34.06,24,4043,952,2174,859,2.2244,INLAND,108585,,114900
-118.06,33.8,20,1379,333,937,304,3.6217,<1H OCEAN,195740,,195300
-118,33.95,35,1431,210,505,213,6.8109,<1H OCEAN,378674.06,,401000
-117.95,33.84,18,3418,815,1961,773,3.65,<1H OCEAN,176267,,171400
-117.88,33.9,21,3180,434,1413,391,6.5945,<1H OCEAN,286154,,277300
-118.12,34.11,48,2124,319,785,319,5.2131,<1H OCEAN,337577.01,,359600
-120.99,37.69,25,2773,384,1060,381,6.4788,INLAND,220966,,199400
-118.37,33.91,41,1869,427,1334,435,3.9355,<1H OCEAN,235960,,227800
-121.74,36.47,28,1973,343,970,349,4.25,<1H OCEAN,259891,,279100
-122.19,37.48,35,7067,1646,5380,1597,4.1776,NEAR BAY,258522,,265300
-116.95,32.78,20,3425,448,1489,443,6.2552,<1H OCEAN,288990.01,,296400
-117.8,33.76,27,2655,345,1017,335,6.9014,<1H OCEAN,356495.06,,366800
-115.54,32.79,23,1712,403,1370,377,1.275,INLAND,63195,,60400
-118.43,34.17,35,2922,507,1130,485,5.451,<1H OCEAN,338078.06,,341800
-120.69,35.49,16,2666,450,1203,429,4.1375,<1H OCEAN,220121,,222400
-118.32,33.94,37,2740,504,1468,479,4.5368,<1H OCEAN,198687,,168800
-121.18,37.96,35,411,74,193,59,2.5625,INLAND,131714,,146900
-121.33,37.96,42,1619,340,906,339,2.5488,INLAND,84275,,80300
-119.95,36.96,18,1996,379,1327,356,2.6087,INLAND,90518,,96000
-118.47,34,42,1271,301,574,312,3.1304,<1H OCEAN,318422.01,,340500
-124.09,40.88,26,2683,555,1353,526,2.4321,NEAR OCEAN,96879,,82100
-117.19,33.64,12,1481,265,757,243,3.235,<1H OCEAN,214849,,210700
-120.64,40.41,50,1741,424,987,383,1.5066,INLAND,62021,,59300
-119.72,34.42,52,1759,387,980,402,4.0125,NEAR OCEAN,255005,,261000
-115.49,32.69,17,1960,389,1691,356,1.899,INLAND,67714,,64000
-118.1,34.11,49,3367,523,1317,495,6.706,<1H OCEAN,373918.1,,351400
-122.82,38.39,32,1437,257,752,245,4.7422,<1H OCEAN,246080,,240900
-118.34,34.12,41,3257,679,1237,638,4.2415,<1H OCEAN,393762.04,,409600
-118.29,34,44,1753,387,1165,380,2.1354,<1H OCEAN,112448,,105800
-121.44,38.73,25,1287,224,727,236,4.7396,INLAND,140026,,135500
-117.22,32.83,31,3958,727,1924,728,5.4605,NEAR OCEAN,211133.01,,190200
-122.63,38.26,7,7808,1390,3551,1392,4.6069,<1H OCEAN,217454,,202300
-118.17,34.18,38,1280,231,828,237,4.375,<1H OCEAN,182534,,166700
-124.17,40.79,43,2285,479,1169,482,1.9688,NEAR OCEAN,75502,,70500
-118.37,34.15,29,2630,617,1071,573,3.3669,<1H OCEAN,341975,,376100
-118.93,34.82,24,806,168,323,136,3.5,INLAND,119220.99,,113900
-122.24,37.47,35,2283,491,1148,436,4.5556,NEAR OCEAN,331574.02,,318600
-122.26,37.85,50,1120,283,697,264,2.125,NEAR BAY,139091,,140000
-118.04,33.99,36,3531,754,1613,697,3.2359,<1H OCEAN,199530,,198600
-117.92,33.92,19,2181,400,1272,337,5.1952,<1H OCEAN,273424,,302100
-116.51,33.89,21,1284,306,537,233,1.95,INLAND,65629,,61000
-117.94,33.84,25,4016,831,2166,774,3.1884,<1H OCEAN,155599,,135400
-122.07,38.24,15,7937,1635,4390,1567,3.5464,INLAND,130062,,129800
-118.25,33.93,42,657,147,526,132,2.5,<1H OCEAN,107731,,110200
-118.86,34.22,26,1932,280,886,289,5.0855,<1H OCEAN,230423,,232200
-121.47,38.72,26,1708,299,911,290,4.0227,INLAND,109805,,99800
-118.2,33.92,36,414,104,477,130,3.6719,<1H OCEAN,145477,,130400
-122.13,37.7,21,4124,1054,2162,998,2.6321,NEAR BAY,217617,,223100
-122.01,37.27,28,3825,473,1415,480,10.675,<1H OCEAN,492080.94,,500001
